HSC_pop_size	HSCT_bottleneck	number_drivers_per_year	gamma_shape	gamma_rate	dpcpd
337564	545	236.145843616247	0.319187197638099	28.6411900557048	1.91659926419024e-06
262623	3961	150.253923402967	0.117321783164406	20.0745293101341	1.56747346830119e-06
489720	655	198.945567164346	0.332187584601528	28.4468529120204	1.11299589233739e-06
214440	29453	168.581516434397	0.160749610139318	24.2059965019376	2.15382936165555e-06
248576	1248	193.256053676615	0.633025764653755	34.1977723076887	2.13000708117398e-06
198297	657	280.841475581684	0.607888864255619	36.0608340287161	3.88018326159141e-06
275088	37807	215.966137231166	0.931130563352212	32.7716829667787	2.1509046094656e-06
214737	4442	199.988012784761	0.583814303125789	33.0352360176058	2.55155079838996e-06
173868	558	236.376852704523	1.49952877925229	42.5129543593076	3.72470963966245e-06
259105	735	189.078183148197	2.29549905689927	41.8416447682788	1.99927604478532e-06
293787	2461	187.553316529384	0.365098340470273	27.0698446180584	1.74903825839887e-06
223702	4017	175.086703405105	1.06036191891739	33.963148152643	2.14432413822921e-06
227996	1058	175.547254720817	1.26521498153017	34.8023068262026	2.10947289775592e-06
194627	2208	151.646587849798	0.333485356037191	27.550445017376	2.13469921284342e-06
165257	859	173.394526479557	0.147971269874358	25.028669069565	2.8746346430364e-06
216557	1801	230.51822709881	0.100697659760777	25.6999765382802	2.91635360007796e-06
177014	2277	180.758039965281	0.256308030166053	23.137258752312	2.79767423341766e-06
381148	3800	147.903584118135	0.310796605510647	28.9955372102297	1.06314423518894e-06
287318	4199	205.180277932708	0.743852472053853	32.4027575933105	1.95650028108522e-06
226726	7258	177.342467396791	0.366970328675938	22.873733794861	2.1429821621245e-06
250824	668	201.527298991966	1.09359591430245	36.5276269439984	2.20126298232768e-06
206897	3175	208.133845523491	1.20347152656265	35.1744435152253	2.75610431162844e-06
156444	1076	177.992072638162	0.375571576412011	23.834204679584	3.11708671522817e-06
251427	628	141.347279458054	2.12068409601094	35.5422360346327	1.54021970764088e-06
