Individual	Zur_ID	Plate_no	Well	Sample	colony_type	Pair	DorR	Plate_ID	Library_conc	Sent_for_WGS	Conc	Current_volume	Total_DNA_quant	Coverage	Run	Lane	Lane_number	Sample_number	Run_Lane	Project
PD45790b	D03	1	H7	PD45790b_lo0056	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A8	PD45790b_lo0057	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B8	PD45790b_lo0058	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C8	PD45790b_lo0059	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D8	PD45790b_lo0060	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E8	PD45790b_lo0061	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F8	PD45790b_lo0062	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G8	PD45790b_lo0063	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H8	PD45790b_lo0064	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A9	PD45790b_lo0065	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B9	PD45790b_lo0066	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C9	PD45790b_lo0067	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D9	PD45790b_lo0068	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E9	PD45790b_lo0069	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F9	PD45790b_lo0070	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G9	PD45790b_lo0071	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H9	PD45790b_lo0072	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A10	PD45790b_lo0073	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B10	PD45790b_lo0074	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C10	PD45790b_lo0075	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D10	PD45790b_lo0076	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E10	PD45790b_lo0077	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F10	PD45790b_lo0078	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G10	PD45790b_lo0079	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H10	PD45790b_lo0080	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A11	PD45790b_lo0081	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B11	PD45790b_lo0082	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C11	PD45790b_lo0083	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D11	PD45790b_lo0084	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E11	PD45790b_lo0085	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F11	PD45790b_lo0086	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G11	PD45790b_lo0087	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H11	PD45790b_lo0088	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A12	PD45790b_lo0089	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B12	PD45790b_lo0090	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C12	PD45790b_lo0091	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D12	PD45790b_lo0092	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E12	PD45790b_lo0093	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F12	PD45790b_lo0094	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G12	PD45790b_lo0095	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H12	PD45790b_lo0096	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A1	PD45790b_lo0097	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B1	PD45790b_lo0098	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C1	PD45790b_lo0099	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D1	PD45790b_lo0100	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E1	PD45790b_lo0101	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F1	PD45790b_lo0102	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G1	PD45790b_lo0103	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H1	PD45790b_lo0104	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	A2	PD45790b_lo0105	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	B2	PD45790b_lo0106	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	C2	PD45790b_lo0107	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	D2	PD45790b_lo0108	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	E2	PD45790b_lo0109	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	F2	PD45790b_lo0110	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	G2	PD45790b_lo0111	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	2	H2	PD45790b_lo0112	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
