target_pop_size	latelife_pop_change
292179.489246344	8.79934048161808
252590.871369556	5.64248317242809
287977.166327889	2.40472206440001
325315.604313036	9.84438444961808
177770.779834126	6.236
249252.474970286	3.5375
236847.63597572	9.2024
343952.483131685	2.25739939343723
313648.723870539	9.38656557260805
200336.087337962	9.34761446373447
281576.616699226	2.90890904000283
321140.335698284	3.33942630583109
266240.408223551	7.85855571567956
362157.378101812	9.60506497542109
403318.329426312	5.14567505477597
242077.860368564	4.85579900611684
391326.267709119	4.76907795830549
499815.180071834	4.2521
243612.284094079	7.81495337217174
226441.141043881	5.49947904340349
283119.249899559	8.5720607985473
258699.231585282	5.54903578087016
195606.824524313	8.59994702230503
248990.673318113	6.50371571363603
244627.575909982	7.13427858356204
307360.369962037	3.34927337689981
336959.8273589	8.1798
219376.38254815	7.8784989237463
233241.345573017	5.87644980120315
272700.075677978	1.41030521155966
410684.69843767	1.58190823141109
271026.925598524	5.99007613601235
262249.480562558	3.7049
205317.388567947	5.28493779515533
188744.407813564	7.2703935147804
362356.096992735	7.3448
184614.489522377	7.9611
224658.220665982	5.96621628787644
222117.025964992	9.28835567344153
207596.454338523	5.1055
160503.07238219	9.3516
260838.44180638	4.8255083396537
316955.327210506	1.57549179278638
212998.383948221	9.0102
273782.698599893	3.13743579122884
243574.599373132	6.09072047343228
224327.396903505	6.33393690567904
237879.98479037	5.11365180526717
180887.959636391	7.40872248025606
264934.912255823	9.51365792543951
345646.301705002	6.14763060597895
197984.066265612	7.16617106210502
132896.749335264	6.60944395211037
367182.478578133	6.96954307848983
246684.072027591	7.8201096685527
203540.772200096	1.67861799895447
212051.075880624	4.95740023051576
278754.289716364	3.3232223066211
317888.335361272	5.32682260779204
248238.177234482	6.0047400609123
238235.431198744	9.63600078082723
252357.79359261	5.73783494292144
302962.208777674	8.40692531378749
445628.572563944	8.98754122966093
186248.056429402	1.59192970398348
265943.484843319	6.62523318021259
182000.953526474	4.02389557414527
322388.892490792	2.43052757768161
339509.262147165	4.3696
197237.057506794	1.67719172133363
171512.347869641	3.98157408814595
231967.156811628	5.53560146439768
236859.307370045	9.07898239619003
344648.658216962	5.7665385073483
173226.692096423	6.37934189472147
170192.089919505	4.93624192260975
350335.897679457	7.382
241866.179986652	8.46012333957677
297920.015408152	8.29089133643857
250653.808583252	2.3189
350264.859230026	6.53722715017067
171301.858509363	6.1449026852124
300030.469682379	8.85751844601537
255078.209256956	7.64728574939813
272405.863344588	7.09704298360778
167597.242272511	6.79047389286047
291210.238042756	9.25943269616639
335919.62463575	7.82504702482586
298057.399781303	4.5775949835903
230464.596026741	9.327
233942.747746903	5.53115978056469
232937.724717203	7.72446599442287
272550.696847503	6.64292976391658
241310.753713188	4.66627183136157
188302.215832701	8.40808240630045
226594.272584263	4.94520864565778
250989.340899049	2.96939853502804
298272.3018917	2.40755143241357
200664.828698401	5.90638824643024
297983.221606381	4.40129166659178
230294.228034815	2.7579
176122.56452552	8.78977163971532
192764.211534462	8.73243119637866
266339.804706567	2.22327743554929
311727.393908905	4.87518555620978
346092.009210104	2.25984614015271
281846.427210204	7.9354
193108.223915877	7.6972515634173
