largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
6	5	3	38	17	10	107	78	17	29	1	53	21
16	6	4	79	11	7	102	74	24	83	1	22	16
22	5	2	31	17	8	97	75	29	30	2	48	20
10	10	3	56	18	18	88	54	30	58	1	56	26
14	11	5	84	24	11	92	56	29	99	2	27	21
15	9	8	72	18	13	90	60	30	76	1	36	25
22	14	3	69	25	6	97	78	35	77	0	26	18
17	9	8	61	19	11	90	60	35	52	2	59	22
6	4	3	30	30	19	113	87	12	62	2	30	13
15	10	4	81	10	6	88	63	34	84	1	30	21
20	10	8	29	27	14	77	74	48	42	1	50	18
13	13	5	60	10	9	97	91	32	66	1	24	20
16	12	5	35	31	9	89	80	35	39	2	46	21
15	3	2	63	18	12	110	72	20	69	0	33	23
15	3	3	66	15	5	109	61	19	55	0	52	30
10	4	2	52	22	8	104	67	13	48	0	48	22
10	6	6	57	11	9	101	78	22	70	3	27	15
18	9	5	77	19	5	102	60	29	76	1	36	19
11	7	3	59	31	7	103	51	21	45	0	67	37
14	10	3	38	10	10	98	74	26	47	3	47	19
17	10	3	41	29	6	93	72	31	49	2	38	17
8	5	5	48	25	3	108	91	17	47	0	35	17
11	5	5	28	21	13	85	51	33	53	0	56	15
9	7	4	75	10	4	98	74	25	67	1	35	22
9	4	4	47	8	8	96	68	25	30	1	54	25
16	15	4	64	18	9	89	53	33	52	5	64	32
38	8	3	46	31	12	87	84	45	52	1	39	24
34	6	3	67	18	7	87	76	42	48	1	52	30
26	8	7	86	52	22	78	26	45	130	3	28	17
15	9	5	68	19	4	105	71	26	56	0	43	25
12	3	2	61	27	8	113	71	16	85	1	22	14
21	7	4	50	14	8	102	97	26	43	3	37	25
16	4	4	31	19	13	92	43	29	57	1	54	18
5	5	2	57	10	6	114	84	12	53	0	36	21
23	14	6	46	40	20	80	48	48	81	0	41	19
7	3	2	67	11	6	120	82	11	60	0	35	31
22	5	5	52	19	12	90	76	32	65	1	36	16
19	9	6	66	38	7	100	58	30	80	0	39	23
7	3	2	52	13	10	110	80	14	43	0	47	26
31	9	5	47	21	7	79	72	48	67	1	34	17
28	9	3	70	25	4	94	70	37	46	1	56	32
14	10	4	47	17	14	97	90	29	39	0	48	20
25	7	4	91	7	6	92	63	34	83	2	30	27
12	4	2	69	15	6	112	82	15	59	0	38	21
12	9	5	43	27	6	91	63	32	24	1	71	27
13	5	3	36	13	10	109	63	18	20	3	75	31
20	10	2	48	27	4	98	90	29	41	3	43	21
13	5	4	29	22	18	107	64	22	40	0	57	18
16	6	3	37	12	9	105	77	24	29	0	58	23
4	3	2	53	38	9	121	58	5	67	0	42	15
36	9	7	67	29	20	70	48	54	59	3	63	17
16	8	8	39	34	11	56	38	49	41	0	81	24
8	4	3	37	12	9	112	96	15	37	1	39	21
15	3	3	66	15	5	109	61	19	55	0	52	30
10	4	2	52	22	8	104	67	13	48	0	48	22
10	6	6	57	11	9	101	78	22	70	3	27	15
24	8	6	32	17	10	92	82	35	21	1	58	18
13	9	4	54	54	4	102	75	26	78	0	32	24
12	10	4	52	17	6	100	98	26	59	1	23	18
24	10	2	32	24	12	100	64	30	36	2	60	17
9	5	3	40	16	11	109	53	15	32	2	62	19
27	8	3	55	24	12	83	82	37	83	1	17	13
23	4	3	53	17	4	100	78	29	32	1	55	32
26	7	7	48	17	11	80	72	47	57	1	38	21
25	11	3	65	12	11	87	70	33	48	5	52	34
17	6	3	50	10	9	101	67	25	54	3	44	27
22	7	3	69	22	6	81	51	42	82	0	37	20
8	5	2	58	29	13	117	63	14	61	0	50	26
11	10	8	31	20	18	91	66	34	58	1	40	13
13	10	9	46	23	6	102	67	28	48	1	49	16
4	3	2	49	25	11	121	98	8	62	1	26	15
19	8	2	58	45	5	103	64	26	62	2	52	25
6	5	3	29	29	9	116	91	12	37	1	45	21
9	7	5	33	30	6	104	77	23	43	1	48	15
8	5	3	51	10	7	116	82	13	24	1	57	29
16	6	4	72	10	8	95	82	24	58	7	36	35
8	6	6	55	30	11	108	64	18	60	3	47	22
31	4	2	50	13	11	99	84	31	38	3	50	24
25	13	12	51	24	21	71	42	51	56	2	68	23
16	6	2	123	11	9	100	38	23	109	2	35	35
24	8	3	37	21	14	81	73	41	50	2	47	16
24	7	5	57	12	8	90	72	34	60	1	40	23
15	9	2	40	21	18	98	61	25	54	1	53	18
35	9	4	62	32	13	82	44	45	73	1	56	19
9	5	2	64	22	9	116	59	13	67	1	43	19
24	15	7	97	26	25	68	28	59	119	0	37	22
26	12	6	50	26	13	76	51	43	45	6	61	25
13	9	4	54	20	13	102	90	26	56	1	32	15
19	4	4	44	15	5	101	70	22	40	3	48	20
16	5	4	29	24	5	91	88	31	39	1	42	16
15	9	4	44	24	11	101	65	26	55	3	46	16
19	4	2	78	14	6	101	83	27	60	0	39	34
15	12	2	67	18	11	93	69	31	72	1	35	21
7	5	4	56	10	9	96	65	27	63	0	37	22
11	3	3	57	24	5	103	63	21	66	1	40	24
18	3	3	53	15	8	110	56	20	67	1	39	23
11	9	4	38	21	18	98	82	28	45	1	43	17
11	5	5	52	15	5	104	68	23	36	0	54	27
8	5	4	50	10	5	107	73	20	39	0	48	26
17	5	3	65	8	5	105	94	22	48	3	33	29
11	8	3	48	29	20	92	66	28	60	1	47	25
20	8	4	77	7	6	86	86	38	64	0	29	21
6	3	2	69	18	4	117	81	12	60	0	36	20
31	6	3	39	35	17	86	67	40	83	2	24	12
7	3	3	61	16	4	119	79	11	35	0	54	31
12	7	2	72	8	4	107	83	20	60	0	34	29
5	5	4	41	16	10	106	72	18	27	0	59	23
13	3	3	57	10	5	109	72	19	47	0	46	23
10	3	3	28	28	10	107	77	16	38	2	51	17
19	5	5	85	6	5	90	56	33	73	2	38	26
10	6	6	95	32	6	79	48	35	112	2	24	21
8	3	3	59	18	3	114	83	11	43	1	47	27
12	7	2	35	17	16	111	72	18	32	0	60	20
21	5	4	87	9	8	97	74	32	87	0	21	20
5	5	4	42	23	6	104	73	19	36	2	56	19
10	5	3	33	28	9	100	65	23	36	1	61	18
27	4	2	58	21	10	91	67	32	64	4	46	18
4	4	3	35	31	5	117	73	9	41	2	53	17
9	7	2	30	28	6	114	83	14	34	1	47	17
12	8	5	41	34	6	100	90	27	60	1	26	17
17	15	3	38	30	6	93	67	34	34	1	60	21
23	4	3	74	10	7	96	86	25	58	3	36	33
16	6	3	55	7	7	106	70	24	32	1	56	27
15	9	3	83	15	3	101	71	26	77	0	28	21
9	5	4	48	8	7	110	66	18	27	0	65	27
6	3	2	32	23	8	121	59	10	15	0	83	24
8	4	4	40	15	6	108	80	19	37	0	49	19
8	6	5	36	26	13	98	83	24	56	2	36	15
17	4	3	61	18	5	104	59	22	32	1	64	35
15	8	2	62	31	4	101	69	24	56	2	52	34
31	7	3	69	53	14	89	56	40	97	0	33	18
16	6	2	42	26	6	102	76	25	57	0	40	14
20	4	3	56	21	7	105	72	25	57	0	39	22
9	8	7	33	24	19	101	67	26	34	1	63	17
21	7	3	73	19	9	93	68	27	50	3	58	38
22	3	2	57	15	12	109	87	22	63	1	25	16
21	8	5	64	39	9	86	61	36	89	2	31	20
18	8	5	32	27	12	91	73	32	44	2	52	17
11	6	3	45	27	4	111	87	20	60	0	28	14
9	4	3	68	32	4	108	70	16	76	0	32	19
6	5	4	27	17	11	108	87	16	48	0	32	18
7	4	4	42	15	9	114	74	16	35	0	55	17
10	7	3	43	18	10	91	80	29	35	1	53	25
28	13	2	43	40	16	85	78	41	76	1	22	15
19	13	2	93	42	2	94	49	31	110	2	24	20
14	12	6	52	9	8	93	82	34	43	1	45	31
19	7	3	79	6	6	95	66	26	74	6	35	28
12	5	2	57	23	12	107	79	21	90	0	12	10
17	11	8	25	24	16	82	60	35	49	5	55	15
13	4	3	63	12	11	108	62	19	28	1	68	36
27	5	4	62	24	17	79	68	41	62	2	44	23
11	2	2	98	13	7	113	66	14	89	2	26	24
15	5	2	32	27	12	106	86	20	33	1	47	19
5	4	3	41	14	6	108	54	15	33	0	71	24
18	9	1	36	27	17	109	72	25	66	0	35	11
29	7	2	46	38	15	88	58	37	57	2	56	22
